Date,plug
1/2/2018,2.42
1/3/2018,2.42
1/4/2018,2.4
1/5/2018,2.36
1/8/2018,2.33
1/9/2018,2.32
1/10/2018,2.34
1/11/2018,2.4
1/12/2018,2.35
1/16/2018,2.28
1/17/2018,2.31
1/18/2018,2.27
1/19/2018,2.27
1/22/2018,2.25
1/23/2018,2.21
1/24/2018,2.21
1/25/2018,2.12
1/26/2018,2.08
1/29/2018,2
1/30/2018,1.93
1/31/2018,1.93
2/1/2018,1.92
2/2/2018,1.94
2/5/2018,1.8
2/6/2018,1.84
2/7/2018,1.98
2/8/2018,1.72
2/9/2018,1.7
2/12/2018,1.75
2/13/2018,1.78
2/14/2018,1.78
2/15/2018,1.83
2/16/2018,1.85
2/20/2018,1.77
2/21/2018,1.99
2/22/2018,1.88
2/23/2018,1.96
2/26/2018,1.96
2/27/2018,1.9
2/28/2018,1.86
3/1/2018,1.81
3/2/2018,1.89
3/5/2018,1.89
3/6/2018,1.88
3/7/2018,1.83
3/8/2018,1.89
3/9/2018,1.94
3/12/2018,2.08
3/13/2018,1.97
3/14/2018,1.94
3/15/2018,1.96
3/16/2018,2.04
3/19/2018,1.98
3/20/2018,1.96
3/21/2018,1.96
3/22/2018,1.91
3/23/2018,1.89
3/26/2018,1.95
3/27/2018,1.89
3/28/2018,1.91
3/29/2018,1.89
4/2/2018,1.77
4/3/2018,1.78
4/4/2018,1.83
4/5/2018,1.83
4/6/2018,1.8
4/9/2018,1.83
4/10/2018,1.85
4/11/2018,1.86
4/12/2018,1.87
4/13/2018,1.88
4/16/2018,1.88
4/17/2018,1.96
4/18/2018,1.95
4/19/2018,1.95
4/20/2018,1.92
4/23/2018,1.9
4/24/2018,1.86
4/25/2018,1.84
4/26/2018,1.86
4/27/2018,1.82
4/30/2018,1.83
5/1/2018,1.86
5/2/2018,1.87
5/3/2018,1.84
5/4/2018,1.81
5/7/2018,1.87
5/8/2018,1.84
5/9/2018,2
5/10/2018,2.02
5/11/2018,2.16
5/14/2018,2.19
5/15/2018,2.15
5/16/2018,2.11
5/17/2018,2.12
5/18/2018,2.12
5/21/2018,2.22
5/22/2018,2.14
5/23/2018,2.14
5/24/2018,2.15
5/25/2018,1.97
5/29/2018,1.95
5/30/2018,1.95
5/31/2018,1.87
6/1/2018,1.89
6/4/2018,1.87
6/5/2018,1.82
6/6/2018,1.86
6/7/2018,1.85
6/8/2018,1.86
6/11/2018,1.93
6/12/2018,2.01
6/13/2018,2.01
6/14/2018,1.99
6/15/2018,1.98
6/18/2018,1.99
6/19/2018,1.98
6/20/2018,2.01
6/21/2018,1.99
6/22/2018,2.04
6/25/2018,1.94
6/26/2018,2.03
6/27/2018,1.97
6/28/2018,1.99
6/29/2018,2.02
7/2/2018,2.03
7/3/2018,2.01
7/5/2018,2.05
7/6/2018,2.02
7/9/2018,2.03
7/10/2018,2.06
7/11/2018,2.06
7/12/2018,2.18
7/13/2018,2.05
7/16/2018,2.01
7/17/2018,1.98
7/18/2018,1.99
7/19/2018,2.02
7/20/2018,1.96
7/23/2018,1.96
7/24/2018,1.91
7/25/2018,1.96
7/26/2018,1.93
7/27/2018,1.95
7/30/2018,1.91
7/31/2018,2
8/1/2018,1.96
8/2/2018,1.99
8/3/2018,1.95
8/6/2018,1.97
8/7/2018,1.95
8/8/2018,2.02
8/9/2018,1.91
8/10/2018,1.91
8/13/2018,1.89
8/14/2018,1.89
8/15/2018,1.86
8/16/2018,1.97
8/17/2018,1.97
8/20/2018,1.95
8/21/2018,1.95
8/22/2018,1.95
8/23/2018,2.01
8/24/2018,2
8/27/2018,1.97
8/28/2018,1.96
8/29/2018,1.97
8/30/2018,1.94
8/31/2018,1.97
9/4/2018,1.95
9/5/2018,1.91
9/6/2018,1.89
9/7/2018,1.92
9/10/2018,1.83
9/11/2018,1.76
9/12/2018,1.77
9/13/2018,1.75
9/14/2018,1.87
9/17/2018,1.83
9/18/2018,1.91
9/19/2018,1.89
9/20/2018,1.93
9/21/2018,1.9
9/24/2018,1.88
9/25/2018,1.97
9/26/2018,1.92
9/27/2018,1.9
9/28/2018,1.92
10/1/2018,1.93
10/2/2018,1.9
10/3/2018,1.9
10/4/2018,1.87
10/5/2018,1.87
10/8/2018,1.86
10/9/2018,1.86
10/10/2018,1.74
10/11/2018,1.78
10/12/2018,1.81
10/15/2018,1.88
10/16/2018,1.93
10/17/2018,1.93
10/18/2018,1.91
10/19/2018,1.94
10/22/2018,1.92
10/23/2018,1.87
10/24/2018,1.86
10/25/2018,1.85
10/26/2018,1.83
10/29/2018,1.8
10/30/2018,1.84
10/31/2018,1.85
11/1/2018,1.89
11/2/2018,1.9
11/5/2018,1.92
11/6/2018,1.91
11/7/2018,1.93
11/8/2018,1.94
11/9/2018,1.87
11/12/2018,1.85
11/13/2018,1.81
11/14/2018,1.8
11/15/2018,1.84
11/16/2018,1.84
11/19/2018,1.78
11/20/2018,1.75
11/21/2018,1.8
11/23/2018,1.71
11/26/2018,1.73
11/27/2018,1.76
11/28/2018,1.78
11/29/2018,1.77
11/30/2018,1.75
12/3/2018,1.7
12/4/2018,1.69
12/6/2018,1.62
12/7/2018,1.57
12/10/2018,1.5
12/11/2018,1.5
12/12/2018,1.46
12/13/2018,1.45
12/14/2018,1.37
12/17/2018,1.31
12/18/2018,1.18
12/19/2018,1.18
12/20/2018,1.01
12/21/2018,1.02
12/24/2018,1.02
12/26/2018,1.31
12/27/2018,1.3
12/28/2018,1.32
12/31/2018,1.24
1/2/2019 16:00,1.33
1/3/2019 16:00,1.26
1/4/2019 16:00,1.34
1/7/2019 16:00,1.53
1/8/2019 16:00,1.6
1/9/2019 16:00,1.51
1/10/2019 16:00,1.45
1/11/2019 16:00,1.48
1/14/2019 16:00,1.45
1/15/2019 16:00,1.39
1/16/2019 16:00,1.39
1/17/2019 16:00,1.4
1/18/2019 16:00,1.38
1/22/2019 16:00,1.33
1/23/2019 16:00,1.36
1/24/2019 16:00,1.37
1/25/2019 16:00,1.36
1/28/2019 16:00,1.37
1/29/2019 16:00,1.4
1/30/2019 16:00,1.39
1/31/2019 16:00,1.37
2/1/2019 16:00,1.34
2/4/2019 16:00,1.38
2/5/2019 16:00,1.38
2/6/2019 16:00,1.36
2/7/2019 16:00,1.34
2/8/2019 16:00,1.34
2/11/2019 16:00,1.36
2/12/2019 16:00,1.37
2/13/2019 16:00,1.4
2/14/2019 16:00,1.67
2/15/2019 16:00,1.62
2/19/2019 16:00,1.69
2/20/2019 16:00,1.78
2/21/2019 16:00,1.78
2/22/2019 16:00,1.8
2/25/2019 16:00,1.75
2/26/2019 16:00,1.77
2/27/2019 16:00,1.79
2/28/2019 16:00,1.79
3/1/2019 16:00,1.8
3/4/2019 16:00,1.86
3/5/2019 16:00,1.87
3/6/2019 16:00,1.81
3/7/2019 16:00,1.97
3/8/2019 16:00,1.95
3/11/2019 16:00,2.11
3/12/2019 16:00,2.2
3/13/2019 16:00,2.38
3/14/2019 16:00,2.59
3/15/2019 16:00,2.2
3/18/2019 16:00,2.4
3/19/2019 16:00,2.53
3/20/2019 16:00,2.62
3/21/2019 16:00,2.54
3/22/2019 16:00,2.48
3/25/2019 16:00,2.36
3/26/2019 16:00,2.4
3/27/2019 16:00,2.36
3/28/2019 16:00,2.42
3/29/2019 16:00,2.4
4/1/2019 16:00,2.35
4/2/2019 16:00,2.45
4/3/2019 16:00,2.45
4/4/2019 16:00,2.55
4/5/2019 16:00,2.63
4/8/2019 16:00,2.77
4/9/2019 16:00,2.59
4/10/2019 16:00,2.67
4/11/2019 16:00,2.67
4/12/2019 16:00,2.59
4/15/2019 16:00,2.51
4/16/2019 16:00,2.59
4/17/2019 16:00,2.56
4/18/2019 16:00,2.57
4/22/2019 16:00,2.5
4/23/2019 16:00,2.53
4/24/2019 16:00,2.58
4/25/2019 16:00,2.53
4/26/2019 16:00,2.52
4/29/2019 16:00,2.53
4/30/2019 16:00,2.49
5/1/2019 16:00,2.51
5/2/2019 16:00,2.46
5/3/2019 16:00,2.57
5/6/2019 16:00,2.51
5/7/2019 16:00,2.47
5/8/2019 16:00,2.42
5/9/2019 16:00,2.31
5/10/2019 16:00,2.35
5/13/2019 16:00,2.23
5/14/2019 16:00,2.28
5/15/2019 16:00,2.33
5/16/2019 16:00,2.42
5/17/2019 16:00,2.55
5/20/2019 16:00,2.57
5/21/2019 16:00,2.51
5/22/2019 16:00,2.53
5/23/2019 16:00,2.5
5/24/2019 16:00,2.5
5/28/2019 16:00,2.67
5/29/2019 16:00,2.59
5/30/2019 16:00,2.62
5/31/2019 16:00,2.56
6/3/2019 16:00,2.59
6/4/2019 16:00,2.58
6/5/2019 16:00,2.54
6/6/2019 16:00,2.56
6/7/2019 16:00,2.55
6/10/2019 16:00,2.66
6/11/2019 16:00,2.62
6/12/2019 16:00,2.6
6/13/2019 16:00,2.65
6/14/2019 16:00,2.55
6/17/2019 16:00,2.4
6/18/2019 16:00,2.31
6/19/2019 16:00,2.29
6/20/2019 16:00,2.31
6/21/2019 16:00,2.3
6/24/2019 16:00,2.09
6/25/2019 16:00,2.05
6/26/2019 16:00,2.14
6/27/2019 16:00,2.22
6/28/2019 16:00,2.25
